x,y,l
0.7935819601040763,0.031141868512110725,0
0.813529921942758,0.04728950403690888,0
0.24371205550737207,0.0657439446366782,0
0.05464006938421509,0.08073817762399077,0
0.7883781439722463,0.0853517877739331,0
0.24804856895056374,0.08881199538638986,0
0.08412836079791847,0.09573241061130335,0
0.29228100607111884,0.10265282583621683,0
0.18907198612315698,0.10380622837370242,0
0.24544666088464875,0.104959630911188,0
0.23070251517779705,0.10957324106113034,0
0.12055507372072853,0.1118800461361015,0
0.11621856027753687,0.11418685121107267,0
0.9314830875975716,0.11649365628604383,0
0.2142237640936687,0.11764705882352941,0
0.9071986123156982,0.11995386389850057,0
0.07718993928881179,0.12341407151095732,0
0.20294882914137033,0.12687427912341406,0
0.08846487424111014,0.12802768166089964,0
0.629661751951431,0.13264129181084197,0
0.2575888985255854,0.13610149942329874,0
0.29141370338248046,0.14302191464821223,0
0.6279271465741544,0.14302191464821223,0
0.6366001734605378,0.1453287197231834,0
0.26366001734605377,0.14994232987312572,0
0.7718993928881179,0.14994232987312572,0
0.07198612315698179,0.15455594002306805,0
0.5177797051170858,0.16147635524798154,0
0.5897658282740676,0.16147635524798154,0
0.6860364267129229,0.16147635524798154,0
0.24024284475281873,0.16608996539792387,0
0.562012142237641,0.16608996539792387,0
0.6157849089332177,0.16724336793540945,0
0.9141370338248048,0.16724336793540945,0
0.8751084128360798,0.1695501730103806,0
0.21595836947094535,0.17185697808535177,0
0.7805724197745013,0.17647058823529413,0
0.9228100607111882,0.18108419838523646,0
0.22116218560277537,0.18223760092272204,0
0.7042497831743278,0.18915801614763553,0
0.17346053772766695,0.19261822376009227,0
0.23850823937554205,0.19492502883506344,0
0.1795316565481353,0.19838523644752018,0
0.11101474414570685,0.19953863898500576,0
0.6339982653946227,0.2041522491349481,0
0.13096270598438856,0.209919261822376,0
0.21335646140503037,0.209919261822376,0
0.08846487424111014,0.21337946943483277,0
0.6539462272333044,0.21337946943483277,0
0.6764960971379012,0.21568627450980393,0
0.1370338248048569,0.223760092272203,0
0.7736339982653946,0.223760092272203,0
0.10667823070251518,0.22606689734717417,0
0.19514310494362533,0.22606689734717417,0
0.14657415437987859,0.22837370242214533,0
0.46487424111014747,0.2295271049596309,0
0.13616652211621855,0.2433679354094579,0
0.2445793581960104,0.24567474048442905,0
0.7727666955767563,0.24798154555940022,0
0.7779705117085863,0.2491349480968858,0
0.14050303555941024,0.2537485582468281,0
0.48829141370338247,0.2537485582468281,0
0.21595836947094535,0.2549019607843137,0
0.7198612315698178,0.25951557093425603,0
0.10667823070251518,0.2629757785467128,0
0.8872506504770165,0.26412918108419836,0
0.12315698178664354,0.26528258362168394,0
0.14657415437987859,0.26528258362168394,0
0.17432784041630528,0.2687427912341407,0
0.1552471812662619,0.27335640138408307,0
0.15784908933217692,0.27450980392156865,0
0.22549869904596703,0.28027681660899656,0
0.9011274934952298,0.2895040369088812,0
0.5099739809193409,0.2906574394463668,0
0.10754553339115351,0.2964244521337947,0
0.3425845620121422,0.29988465974625145,0
0.3191673894189072,0.30103806228373703,0
0.22983521248915872,0.3102652825836217,0
0.8976582827406765,0.31257208765859285,0
0.9028620988725065,0.3275663206459054,0
0.9184735472679966,0.3275663206459054,0
0.632263660017346,0.3344867358708189,0
0.17779705117085862,0.3356401384083045,0
0.7528187337380746,0.34256055363321797,0
0.7649609713790113,0.34256055363321797,0
0.1899392888117953,0.34371395617070355,0
0.6470078057241977,0.3494809688581315,0
0.8907198612315698,0.35294117647058826,0
0.7215958369470945,0.356401384083045,0
0.6487424111014745,0.35870818915801617,0
0.7389418907198613,0.36562860438292966,0
0.3113616652211622,0.36678200692041524,0
0.31569817866435385,0.36678200692041524,0
0.8950563746747615,0.3679354094579008,0
0.6808326105810928,0.3737024221453287,0
0.3382480485689506,0.3771626297577855,0
0.9071986123156982,0.3863898500576701,0
0.28360797918473546,0.38985005767012687,0
0.3096270598438855,0.40369088811995385,0
0.9132697311361665,0.4140715109573241,0
